q0,q1,q2,q3,q4,q5
0.789622,0.124595,0.171824,-0.177713,0.259992,0.345197
1.5,0.249189,0.343649,-0.355427,0.519985,0.690393
1.5,0.373784,0.515473,-0.53314,0.779977,1.03559
1.5,0.498378,0.687298,-0.710853,1.03997,1.38079
1.5,0.622973,0.859122,-0.888567,1.29996,1.5
1.5,0.747567,1.03095,-1.06628,1.5,1.5
1.5,0.872162,1.20277,-1.24399,1.5,1.5
1.5,0.996756,1.3746,-1.42171,1.5,1.5
1.5,1.12135,1.5,-1.5,1.5,1.5
1.5,1.24595,1.5,-1.5,1.5,1.5
1.5,1.37054,1.5,-1.5,1.5,1.5
1.5,1.49513,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
1.5,1.5,1.5,-1.5,1.5,1.5
